Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Niall Brask,Raledria,,"1708, 1748, 1752, 1756, 1760, 1764",21,1708: 3; 1748: 1; 1752: 2; 1756: 6; 1760: 5; 1764: 4,,includes surname-only match data
Daron Veshani,Quidic,,"1736, 1744, 1748, 1752, 1756",19,1736: 3; 1744: 3; 1748: 2; 1752: 3; 1756: 8,1756 Top scorer (Marskval),includes surname-only match data
Tovan Brunscar,Verusa,,"1752, 1756, 1760",17,1752: 8; 1756: 4; 1760: 5,1752 Top scorer (Marskval),
Aurelian Sundas,Raledria,,"1732, 1736, 1740, 1744",16,1732: 5; 1736: 6; 1740: 3; 1744: 2,1736 Top scorer (Marskval),career spans generated
Theio Ravar,Emara,,"1752, 1756, 1760, 1764",16,1752: 1; 1756: 2; 1760: 4; 1764: 9,1764 Top scorer (Marskval),career spans generated
Maharan Soldai,Sanagara,,"1732, 1736, 1740, 1744",12,1732: 4; 1736: 1; 1740: 2; 1744: 5,,career spans generated
Aldo Vossen,Dual Cenryia,,"1756, 1760, 1764",11,1756: 6; 1760: 3; 1764: 2,,career spans generated
Caio Rentini,Taval,,"1760, 1764",11,1760: 6; 1764: 5,,
Setrul Karavi,New Misos,,"1748, 1752, 1756",11,1748: 6; 1752: 3; 1756: 2,1748 Best young player,career spans generated
Velmir Drasko,Raledria,,"1700, 1704, 1708",11,1700: 6; 1704: 3; 1708: 2,1700 Top scorer (Marskval),career spans generated
Anders Vellholm,Verusa,,"1756, 1760, 1764",10,1756: 2; 1760: 3; 1764: 5,1764 Best young player,career spans generated
Daro Lemniska,Seytinemas,,"1756, 1760, 1764",10,1756: 2; 1760: 3; 1764: 5,,career spans generated
Niall Brask,Etirha,,"1736, 1740, 1744",10,1736: 4; 1740: 2; 1744: 4,,career spans generated
Ranjit Kavari,Sanagara,,"1740, 1744, 1748",10,1740: 2; 1744: 3; 1748: 5,,career spans generated
Sebrek Galenas,New Misos,,"1752, 1756",10,1752: 3; 1756: 7,,
Veylan Marrik,Raledria,,"1712, 1716",10,1712: 7; 1716: 3,1712 Top scorer (Marskval),career spans generated
Aldermin Yaxri,Easuhura,,"1732, 1736, 1740",9,1732: 2; 1736: 5; 1740: 2,,career spans generated
Andrik Vossarin,Emara,,"1724, 1728",9,1724: 3; 1728: 6,1728 Top scorer (Marskval),career spans generated
Daron Veshani,Finae,,"1732, 1736",9,1732: 6; 1736: 3,,career spans generated
Estien Marlo,Lycroa,,"1712, 1716, 1720",9,1712: 1; 1716: 3; 1720: 5,,career spans generated
Galari Mestrei,Lycroa,,"1744, 1748",9,1744: 6; 1748: 3,1744 Top scorer (Marskval),career spans generated
Halric Ostley,Emara,,"1700, 1748, 1764",9,1700: 1; 1748: 7; 1764: 1,1748 Top scorer (Marskval),includes surname-only match data
Joren Khaldari,United Delet,,"1704, 1708",9,1704: 3; 1708: 6,1708 Top scorer (Marskval),career spans generated
Petren Toranki,Wundry,,"1732, 1736",9,1732: 4; 1736: 5,,
Reiner Valsk,Verusa,,"1724, 1728, 1732, 1736",9,1724: 2; 1728: 4; 1732: 2; 1736: 1,,career spans generated
Telkor Andovi,Seytinemas,,"1744, 1748",9,1744: 3; 1748: 6,,career spans generated
Tomaz Renari,Emara,,"1728, 1732",9,1728: 3; 1732: 6,,career spans generated
Adari Lonven,New Misos,,"1748, 1752",8,1748: 5; 1752: 3,1748 Best player (Vairan Ball),career spans generated
Maharan Soldai,Taval,,"1732, 1736, 1740",8,1732: 2; 1736: 4; 1740: 2,,career spans generated
Talin Kestor,Quidic,,"1748, 1752, 1756",8,1748: 1; 1752: 2; 1756: 5,1756 Best young player,career spans generated
Tiago Marenzi,Ohtina,,"1748, 1752, 1756, 1760",8,1748: 1; 1752: 1; 1756: 2; 1760: 4,,career spans generated
Tovan Ranov,Ohtina,,"1736, 1740, 1744",8,1736: 3; 1740: 2; 1744: 3,,career spans generated
Aakash Vinjala,Sanagara,,1764,7,1764: 7,,
Aldan Verric,Trian,,1760,7,1760: 7,1760 Top scorer (Marskval),
Halo Markenrick,Verusa,,"1752, 1756, 1760",7,1752: 2; 1756: 3; 1760: 2,1760 Best player (Vairan Ball),
Halvik Sorent,Raledria,,1716,7,1716: 7,1716 Top scorer (Marskval),
Halvik Yantra,Easuhura,,"1708, 1712",7,1708: 2; 1712: 5,,career spans generated
Idris Calwen,Praesyu,,1720,7,1720: 7,1720 Top scorer (Marskval),
Kashik Tonaq,Ztesh,,"1744, 1748, 1752, 1756",7,1744: 1; 1748: 1; 1752: 1; 1756: 4,,includes surname-only match data; career spans generated
Marenta,Dahe,,1740,7,1740: 7,,name from match data (surname only)
Marlen Tavri,Quidic,,"1748, 1752, 1756",7,1748: 1; 1752: 1; 1756: 5,1756 Best player (Vairan Ball),includes surname-only match data
Mirek Tovasch,Emara,FW,1704,7,1704: 7,1704 Top scorer (Marskval),
Olen Marhan,Sanagara,,"1732, 1736, 1740, 1744",7,1732: 2; 1736: 1; 1740: 1; 1744: 3,,includes surname-only match data; career spans generated
Ravik Tolmesh,Praesyu,,"1712, 1716, 1720",7,1712: 4; 1716: 2; 1720: 1,,career spans generated
Renal Reka,United Delet,,"1752, 1756, 1760",7,1752: 4; 1756: 2; 1760: 1,,includes surname-only match data; career spans generated
Tovi Renkalmar,Easuhura,,"1740, 1744",7,1740: 2; 1744: 5,,career spans generated
Wilhelm Brashein,Verusa,,1732,7,1732: 7,1732 Top scorer (Marskval),
Aldermin Sarro,Easuhura,,"1704, 1708, 1712",6,1704: 1; 1708: 2; 1712: 3,,career spans generated
Aurelio Mestri,Raledria,,"1724, 1728",6,1724: 2; 1728: 4,,career spans generated
Bertan Soreno,Lycroa,,"1736, 1740, 1744",6,1736: 1; 1740: 2; 1744: 3,1744 Best young player,career spans generated
Brask Norvali,Etretes,,"1728, 1732",6,1728: 2; 1732: 4,,career spans generated
Davlan Kresimar,Lycroa,FW,"1700, 1704",6,1700: 2; 1704: 4,,career spans generated
Davor Mirkeln,Etirha,,"1716, 1720",6,1716: 2; 1720: 4,,career spans generated
Emil Korvan,Praesyu,,"1756, 1760",6,1756: 2; 1760: 4,,career spans generated
Erron Petlik,New Misos,,"1744, 1748",6,1744: 4; 1748: 2,,career spans generated
Friedrik Lannvert,Verusa,,"1732, 1736, 1740",6,1732: 1; 1736: 3; 1740: 2,,career spans generated
Mirek Tavold,Emara,,"1724, 1728, 1732",6,1724: 2; 1728: 3; 1732: 1,1728 Best player (Vairan Ball),career spans generated
Sokri,New Misos,,1740,6,1740: 6,,name from match data (surname only)
Toren Vasque,Verusa,,1724,6,1724: 6,1724 Top scorer (Marskval),
Velari Mantor,New Misos,,"1744, 1748",6,1744: 2; 1748: 4,,career spans generated
Velkhan,Emara,,1716,6,1716: 6,,name from match data (surname only)
Vidoma Calreth,Emara,,"1732, 1736",6,1732: 4; 1736: 2,,career spans generated
Aakash Rashvel,Sanagara,,"1740, 1744, 1748, 1752",5,1744: 1; 1748: 3; 1752: 1,,career spans generated
Cael Mordane,Emara,,1712,5,1712: 5,,
Halmeri,Easuhura,,1724,5,1724: 5,,name from match data (surname only)
Halvor Marzeti,Lycroa,,1732,5,1732: 5,1732 Best player (Vairan Ball),
Iremu Sahale,Taval,,1728,5,1728: 5,,
Khalo Bahkir,Haiza,,1760,5,1760: 5,,
Linwei Pung,Dahe,,1732,5,1732: 5,,
Marishen Olstre,Seytinemas,,"1744, 1748",5,1744: 2; 1748: 3,,career spans generated
Alaric Sumar,Praesyu,,1752,4,1752: 4,1752 Best young player,
Anrik Vossel,Praesyu,,1720,4,1720: 4,1720 Best player (Vairan Ball),
Brenmar,United Delet,,1700,4,1700: 4,,name from match data (surname only)
Daro Kessil,Raledria,,1712,4,1712: 4,,
Davo Karelis,Easuhura,,1764,4,1764: 4,,
Devan Lehrek,Verusa,,"1756, 1760, 1764",4,1756: 1; 1760: 2; 1764: 1,1760 Best young player,includes surname-only match data
Galuran Erith,Easuhura,,"1732, 1736",4,1732: 1; 1736: 3,,career spans generated
Karen Vekiri,Erkizil,,"1748, 1752, 1756",4,1748: 1; 1752: 2; 1756: 1,,includes surname-only match data; career spans generated
Kel Renstrom,Dual Cenryia,,1756,4,1756: 4,,
Maraki,Areoix Lie,,1724,4,1724: 4,,name from match data (surname only)
Marek Vetrai,Raledria,,"1732, 1736",4,1732: 1; 1736: 3,1736 Best player (Vairan Ball),includes surname-only match data
Mun-Hyun Daek,Finae,,1748,4,1748: 4,,
Ravan Sarkel,Ukhdari,,1760,4,1760: 4,,
Resko Velam,Finae,,1748,4,1748: 4,,
Sava Tarkhel,Etirha,,"1712, 1716, 1720",4,1716: 1; 1720: 3,,career spans generated
Senn Drevali,Praesyu,,"1708, 1712",4,1708: 1; 1712: 3,,career spans generated
Tomir Daleski,Lycroa,,"1728, 1732, 1736",4,1728: 3; 1732: 1,,career spans generated
Velsani,Lycroa,,1716,4,1716: 4,,name from match data (surname only)
Venn,Emara,,"1708, 1728",4,1708: 3; 1728: 1,,name from match data (surname only)
Aldwin,Emara,,1756,3,1756: 3,,name from match data (surname only)
Andrei Volok,Raledria,,1720,3,1720: 3,,
Ardrei,Ukhdari,,1732,3,1732: 3,,name from match data (surname only)
Borek,Seytinemas,,1764,3,1764: 3,,name from match data (surname only)
Cael,Emara,,1756,3,1756: 3,,name from match data (surname only)
Caldori,Verusa,,1724,3,1724: 3,,name from match data (surname only)
Calveni,Lycroa,,1724,3,1724: 3,,name from match data (surname only)
Cario Velarzo,Lycroa,,"1740, 1744",3,1740: 2; 1744: 1,1744 Best player (Vairan Ball),includes surname-only match data
Daron Kresch,Emara,MF,"1704, 1708",3,1704: 2; 1708: 1,,career spans generated
Halmir Yaxri,Easuhura,,"1744, 1748",3,1744: 2; 1748: 1,,career spans generated
Halver,Siana,,1736,3,1736: 3,,name from match data (surname only)
Halvik,Dual Cenryia,,1756,3,1756: 3,,name from match data (surname only)
Marek Calahn,United Delet,,1752,3,1752: 3,,
Maresto,Lycroa,,1724,3,1724: 3,,name from match data (surname only)
Marwen,Lycroa,,1700,3,1700: 3,,name from match data (surname only)
Mokshlein,Verusa,,"1732, 1736",3,1732: 1; 1736: 2,,name from match data (surname only)
Onuk Saryah,Siana,FW,1704,3,1704: 3,,
Pelan,Ohtina,,"1736, 1744",3,1736: 2; 1744: 1,,name from match data (surname only)
Phalavi,Easuhura,,1716,3,1716: 3,,name from match data (surname only)
Renji,Ztesh,,1760,3,1760: 3,,name from match data (surname only)
Rivosi,Emara,,1724,3,1724: 3,,name from match data (surname only)
Sahel Mavari,Easuhura,,1764,3,1764: 3,1764 Best player (Vairan Ball),
Teodan Vels,Easuhura,FW,1704,3,1704: 3,,
Toman Vaskar,Raledria,,1712,3,1712: 3,1712 Best player (Vairan Ball),
Vaitu Marenga,Taval,,1728,3,1728: 3,,
Valente,Siana,,1700,3,1700: 3,,name from match data (surname only)
Velim Khastane,Praesyu,,1752,3,1752: 3,1752 Best player (Vairan Ball),
Voskar,Raledria,,"1760, 1764",3,1760: 2; 1764: 1,,name from match data (surname only)
Astren,Praesyu,,"1724, 1740",2,1724: 1; 1740: 1,,name from match data (surname only)
Bhadra,Finae,,1764,2,1764: 2,,name from match data (surname only)
Bokan,Easuhura,,1716,2,1716: 2,,name from match data (surname only)
Bretmar,Emara,,1756,2,1756: 2,,name from match data (surname only)
Brunsbeck,Emara,,1764,2,1764: 2,,name from match data (surname only)
Brunscar,United Delet,,"1732, 1736",2,1732: 1; 1736: 1,,name from match data (surname only)
Calveit,Lycroa,,1700,2,1700: 2,,name from match data (surname only)
Calvenza,Lycroa,,1740,2,1740: 2,,name from match data (surname only)
Carreta,Genaire,,1732,2,1732: 2,,name from match data (surname only)
Carteni,Raledria,,"1724, 1740",2,1724: 1; 1740: 1,,name from match data (surname only)
Corwen,Raledria,,1756,2,1756: 2,,name from match data (surname only)
Edran Volkmar,Raledria,,1716,2,1716: 2,1716 Best player (Vairan Ball),
Halver,Etirha,,"1736, 1744",2,1736: 1; 1744: 1,,name from match data (surname only)
Holt,Emara,,1708,2,1708: 2,,name from match data (surname only)
Hresan,Anymna,,1736,2,1736: 2,,name from match data (surname only)
Jensen,Finae,,1748,2,1748: 2,,name from match data (surname only)
Karentian,Genaire,,1740,2,1740: 2,,name from match data (surname only)
Kelva,Etirha,,1736,2,1736: 2,,name from match data (surname only)
Kervanis,Fermori,,1740,2,1740: 2,,name from match data (surname only)
Lieth,Finae,,1732,2,1732: 2,,name from match data (surname only)
Maletier,United Delet,,1740,2,1740: 2,,name from match data (surname only)
Marsen,Dual Cenryia,,1748,2,1748: 2,,name from match data (surname only)
Naseef,Haiza,,1760,2,1760: 2,,name from match data (surname only)
Olanze,Terressin,,1732,2,1732: 2,,name from match data (surname only)
Olstai,Anymna,,1736,2,1736: 2,,name from match data (surname only)
Ostroski,Verusa,,1764,2,1764: 2,,name from match data (surname only)
Pikashka,Ztesh,,1756,2,1756: 2,,name from match data (surname only)
Ravkin,Raledria,,1700,2,1700: 2,,name from match data (surname only)
Razuli,Vesozata,,1756,2,1756: 2,,name from match data (surname only)
Renji,Quidic,,1708,2,1708: 2,,name from match data (surname only)
Renn,Lycroa,,1708,2,1708: 2,,name from match data (surname only)
Renvis,Verusa,,1724,2,1724: 2,,name from match data (surname only)
Sael Wadiri,Siana,FW,1704,2,1704: 2,,
Sandar,Dahe,,1748,2,1748: 2,,name from match data (surname only)
Solani,United Delet,,1708,2,1708: 2,,name from match data (surname only)
Soldan,Dahe,,"1712, 1736",2,1712: 1; 1736: 1,,name from match data (surname only)
Sorvel,New Misos,,1756,2,1756: 2,,name from match data (surname only)
Tepura,Areoix Lie,,1724,2,1724: 2,,name from match data (surname only)
Tomaso Velli,Lycroa,MF,"1704, 1708",2,1708: 2,,includes surname-only match data
Trakor,Seytinemas,,1748,2,1748: 2,,name from match data (surname only)
Trezzini,Lycroa,,1716,2,1716: 2,,name from match data (surname only)
Vairos,United Delet,,1708,2,1708: 2,,name from match data (surname only)
Vasch,Lycroa,,1704,2,1704: 2,,name from match data (surname only)
Yaru,Easuhura,,1764,2,1764: 2,,name from match data (surname only)
Zhao,Dahe,,1732,2,1732: 2,,name from match data (surname only)
Aldan Estren,Estijan,FW,"1700, 1704, 1708, 1712",1,1708: 1,,career spans generated
Aldhus,Verusa,,1716,1,1716: 1,,name from match data (surname only)
Anjit,Sanagara,,1756,1,1756: 1,,name from match data (surname only)
