Player,Team(s),Position,World Cups,Total goals,Goals by World Cup,Awards,Notes
Niall Brask,Raledria,,"1708, 1748, 1752, 1756, 1760, 1764",21,1708: 3; 1748: 1; 1752: 2; 1756: 6; 1760: 5; 1764: 4,,includes surname-only match data
Daron Veshani,Quidic,,"1736, 1744, 1748, 1752, 1756",19,1736: 3; 1744: 3; 1748: 2; 1752: 3; 1756: 8,1756 Top scorer (Marskval),includes surname-only match data
Tovan Brunscar,Verusa,,"1752, 1756, 1760",17,1752: 8; 1756: 4; 1760: 5,1752 Top scorer (Marskval),
Aurelian Sundas,Raledria,,"1732, 1736",11,1732: 5; 1736: 6,1736 Top scorer (Marskval),
Caio Rentini,Taval,,"1760, 1764",11,1760: 6; 1764: 5,,
Sebrek Galenas,New Misos,,"1752, 1756",10,1752: 3; 1756: 7,,
Halric Ostley,Emara,,"1700, 1748, 1764",9,1700: 1; 1748: 7; 1764: 1,1748 Top scorer (Marskval),includes surname-only match data
Maharan Soldai,Sanagara,,"1732, 1744",9,1732: 4; 1744: 5,,
Petren Toranki,Wundry,,"1732, 1736",9,1732: 4; 1736: 5,,
Theio Ravar,Emara,,1764,9,1764: 9,1764 Top scorer (Marskval),
Niall Brask,Etirha,,"1736, 1744",8,1736: 4; 1744: 4,,
Aakash Vinjala,Sanagara,,1764,7,1764: 7,,
Aldan Verric,Trian,,1760,7,1760: 7,1760 Top scorer (Marskval),
Halo Markenrick,Verusa,,"1752, 1756, 1760",7,1752: 2; 1756: 3; 1760: 2,1760 Best player (Vairan Ball),
Halvik Sorent,Raledria,,1716,7,1716: 7,1716 Top scorer (Marskval),
Idris Calwen,Praesyu,,1720,7,1720: 7,1720 Top scorer (Marskval),
Marenta,Dahe,,1740,7,1740: 7,,name from match data (surname only)
Marlen Tavri,Quidic,,"1748, 1752, 1756",7,1748: 1; 1752: 1; 1756: 5,1756 Best player (Vairan Ball),includes surname-only match data
Mirek Tovasch,Emara,FW,1704,7,1704: 7,1704 Top scorer (Marskval),
Veylan Marrik,Raledria,,1712,7,1712: 7,1712 Top scorer (Marskval),
Wilhelm Brashein,Verusa,,1732,7,1732: 7,1732 Top scorer (Marskval),
Aldo Vossen,Dual Cenryia,,1756,6,1756: 6,,
Andrik Vossarin,Emara,,1728,6,1728: 6,1728 Top scorer (Marskval),
Daron Veshani,Finae,,1732,6,1732: 6,,
Galari Mestrei,Lycroa,,1744,6,1744: 6,1744 Top scorer (Marskval),
Joren Khaldari,United Delet,,1708,6,1708: 6,1708 Top scorer (Marskval),
Kashik Tonaq,Ztesh,,"1744, 1752, 1756",6,1744: 1; 1752: 1; 1756: 4,,includes surname-only match data
Setrul Karavi,New Misos,,1748,6,1748: 6,1748 Best young player,
Sokri,New Misos,,1740,6,1740: 6,,name from match data (surname only)
Telkor Andovi,Seytinemas,,1748,6,1748: 6,,
Tomaz Renari,Emara,,1732,6,1732: 6,,
Toren Vasque,Verusa,,1724,6,1724: 6,1724 Top scorer (Marskval),
Tovan Ranov,Ohtina,,"1736, 1744",6,1736: 3; 1744: 3,,
Velkhan,Emara,,1716,6,1716: 6,,name from match data (surname only)
Velmir Drasko,Raledria,,1700,6,1700: 6,1700 Top scorer (Marskval),
Adari Lonven,New Misos,,1748,5,1748: 5,1748 Best player (Vairan Ball),
Aldermin Yaxri,Easuhura,,1736,5,1736: 5,,
Anders Vellholm,Verusa,,1764,5,1764: 5,1764 Best young player,
Cael Mordane,Emara,,1712,5,1712: 5,,
Daro Lemniska,Seytinemas,,1764,5,1764: 5,,
Estien Marlo,Lycroa,,1720,5,1720: 5,,
Halmeri,Easuhura,,1724,5,1724: 5,,name from match data (surname only)
Halvik Yantra,Easuhura,,1712,5,1712: 5,,
Halvor Marzeti,Lycroa,,1732,5,1732: 5,1732 Best player (Vairan Ball),
Iremu Sahale,Taval,,1728,5,1728: 5,,
Khalo Bahkir,Haiza,,1760,5,1760: 5,,
Linwei Pung,Dahe,,1732,5,1732: 5,,
Olen Marhan,Sanagara,,"1732, 1744",5,1732: 2; 1744: 3,,includes surname-only match data
Ranjit Kavari,Sanagara,,1748,5,1748: 5,,
Renal Reka,United Delet,,"1752, 1760",5,1752: 4; 1760: 1,,includes surname-only match data
Talin Kestor,Quidic,,1756,5,1756: 5,1756 Best young player,
Tovi Renkalmar,Easuhura,,1744,5,1744: 5,,
Alaric Sumar,Praesyu,,1752,4,1752: 4,1752 Best young player,
Anrik Vossel,Praesyu,,1720,4,1720: 4,1720 Best player (Vairan Ball),
Aurelio Mestri,Raledria,,1728,4,1728: 4,,
Brask Norvali,Etretes,,1732,4,1732: 4,,
Brenmar,United Delet,,1700,4,1700: 4,,name from match data (surname only)
Daro Kessil,Raledria,,1712,4,1712: 4,,
Davlan Kresimar,Lycroa,FW,1704,4,1704: 4,,
Davo Karelis,Easuhura,,1764,4,1764: 4,,
Davor Mirkeln,Etirha,,1720,4,1720: 4,,
Devan Lehrek,Verusa,,"1756, 1760, 1764",4,1756: 1; 1760: 2; 1764: 1,1760 Best young player,includes surname-only match data
Emil Korvan,Praesyu,,1760,4,1760: 4,,
Erron Petlik,New Misos,,1744,4,1744: 4,,
Kel Renstrom,Dual Cenryia,,1756,4,1756: 4,,
Maharan Soldai,Taval,,1736,4,1736: 4,,
Maraki,Areoix Lie,,1724,4,1724: 4,,name from match data (surname only)
Marek Vetrai,Raledria,,"1732, 1736",4,1732: 1; 1736: 3,1736 Best player (Vairan Ball),includes surname-only match data
Mun-Hyun Daek,Finae,,1748,4,1748: 4,,
Ravan Sarkel,Ukhdari,,1760,4,1760: 4,,
Ravik Tolmesh,Praesyu,,1712,4,1712: 4,,
Reiner Valsk,Verusa,,1728,4,1728: 4,,
Resko Velam,Finae,,1748,4,1748: 4,,
Tiago Marenzi,Ohtina,,1760,4,1760: 4,,
Velari Mantor,New Misos,,1748,4,1748: 4,,
Velsani,Lycroa,,1716,4,1716: 4,,name from match data (surname only)
Venn,Emara,,"1708, 1728",4,1708: 3; 1728: 1,,name from match data (surname only)
Vidoma Calreth,Emara,,1732,4,1732: 4,,
Aakash Rashvel,Sanagara,,1748,3,1748: 3,,
Aldermin Sarro,Easuhura,,1712,3,1712: 3,,
Aldwin,Emara,,1756,3,1756: 3,,name from match data (surname only)
Andrei Volok,Raledria,,1720,3,1720: 3,,
Ardrei,Ukhdari,,1732,3,1732: 3,,name from match data (surname only)
Bertan Soreno,Lycroa,,1744,3,1744: 3,1744 Best young player,
Borek,Seytinemas,,1764,3,1764: 3,,name from match data (surname only)
Cael,Emara,,1756,3,1756: 3,,name from match data (surname only)
Caldori,Verusa,,1724,3,1724: 3,,name from match data (surname only)
Calveni,Lycroa,,1724,3,1724: 3,,name from match data (surname only)
Cario Velarzo,Lycroa,,"1740, 1744",3,1740: 2; 1744: 1,1744 Best player (Vairan Ball),includes surname-only match data
Friedrik Lannvert,Verusa,,1736,3,1736: 3,,
Galuran Erith,Easuhura,,1736,3,1736: 3,,
Halver,Siana,,1736,3,1736: 3,,name from match data (surname only)
Halvik,Dual Cenryia,,1756,3,1756: 3,,name from match data (surname only)
Karen Vekiri,Erkizil,,"1752, 1756",3,1752: 2; 1756: 1,,includes surname-only match data
Marek Calahn,United Delet,,1752,3,1752: 3,,
Maresto,Lycroa,,1724,3,1724: 3,,name from match data (surname only)
Marishen Olstre,Seytinemas,,1748,3,1748: 3,,
Marwen,Lycroa,,1700,3,1700: 3,,name from match data (surname only)
Mirek Tavold,Emara,,1728,3,1728: 3,1728 Best player (Vairan Ball),
Mokshlein,Verusa,,"1732, 1736",3,1732: 1; 1736: 2,,name from match data (surname only)
Onuk Saryah,Siana,FW,1704,3,1704: 3,,
Pelan,Ohtina,,"1736, 1744",3,1736: 2; 1744: 1,,name from match data (surname only)
Phalavi,Easuhura,,1716,3,1716: 3,,name from match data (surname only)
Renji,Ztesh,,1760,3,1760: 3,,name from match data (surname only)
Rivosi,Emara,,1724,3,1724: 3,,name from match data (surname only)
Sahel Mavari,Easuhura,,1764,3,1764: 3,1764 Best player (Vairan Ball),
Sava Tarkhel,Etirha,,1720,3,1720: 3,,
Senn Drevali,Praesyu,,1712,3,1712: 3,,
Teodan Vels,Easuhura,FW,1704,3,1704: 3,,
Toman Vaskar,Raledria,,1712,3,1712: 3,1712 Best player (Vairan Ball),
Tomir Daleski,Lycroa,,1728,3,1728: 3,,
Vaitu Marenga,Taval,,1728,3,1728: 3,,
Valente,Siana,,1700,3,1700: 3,,name from match data (surname only)
Velim Khastane,Praesyu,,1752,3,1752: 3,1752 Best player (Vairan Ball),
Voskar,Raledria,,"1760, 1764",3,1760: 2; 1764: 1,,name from match data (surname only)
Astren,Praesyu,,"1724, 1740",2,1724: 1; 1740: 1,,name from match data (surname only)
Bhadra,Finae,,1764,2,1764: 2,,name from match data (surname only)
Bokan,Easuhura,,1716,2,1716: 2,,name from match data (surname only)
Bretmar,Emara,,1756,2,1756: 2,,name from match data (surname only)
Brunsbeck,Emara,,1764,2,1764: 2,,name from match data (surname only)
Brunscar,United Delet,,"1732, 1736",2,1732: 1; 1736: 1,,name from match data (surname only)
Calveit,Lycroa,,1700,2,1700: 2,,name from match data (surname only)
Calvenza,Lycroa,,1740,2,1740: 2,,name from match data (surname only)
Carreta,Genaire,,1732,2,1732: 2,,name from match data (surname only)
Carteni,Raledria,,"1724, 1740",2,1724: 1; 1740: 1,,name from match data (surname only)
Corwen,Raledria,,1756,2,1756: 2,,name from match data (surname only)
Daron Kresch,Emara,MF,1704,2,1704: 2,,
Edran Volkmar,Raledria,,1716,2,1716: 2,1716 Best player (Vairan Ball),
Halmir Yaxri,Easuhura,,1744,2,1744: 2,,
Halver,Etirha,,"1736, 1744",2,1736: 1; 1744: 1,,name from match data (surname only)
Holt,Emara,,1708,2,1708: 2,,name from match data (surname only)
Hresan,Anymna,,1736,2,1736: 2,,name from match data (surname only)
Jensen,Finae,,1748,2,1748: 2,,name from match data (surname only)
Karentian,Genaire,,1740,2,1740: 2,,name from match data (surname only)
Kelva,Etirha,,1736,2,1736: 2,,name from match data (surname only)
Kervanis,Fermori,,1740,2,1740: 2,,name from match data (surname only)
Lieth,Finae,,1732,2,1732: 2,,name from match data (surname only)
Maletier,United Delet,,1740,2,1740: 2,,name from match data (surname only)
Marsen,Dual Cenryia,,1748,2,1748: 2,,name from match data (surname only)
Naseef,Haiza,,1760,2,1760: 2,,name from match data (surname only)
Olanze,Terressin,,1732,2,1732: 2,,name from match data (surname only)
Olstai,Anymna,,1736,2,1736: 2,,name from match data (surname only)
Ostroski,Verusa,,1764,2,1764: 2,,name from match data (surname only)
Pikashka,Ztesh,,1756,2,1756: 2,,name from match data (surname only)
Ravkin,Raledria,,1700,2,1700: 2,,name from match data (surname only)
Razuli,Vesozata,,1756,2,1756: 2,,name from match data (surname only)
Renji,Quidic,,1708,2,1708: 2,,name from match data (surname only)
Renn,Lycroa,,1708,2,1708: 2,,name from match data (surname only)
Renvis,Verusa,,1724,2,1724: 2,,name from match data (surname only)
Sael Wadiri,Siana,FW,1704,2,1704: 2,,
Sandar,Dahe,,1748,2,1748: 2,,name from match data (surname only)
Solani,United Delet,,1708,2,1708: 2,,name from match data (surname only)
Soldan,Dahe,,"1712, 1736",2,1712: 1; 1736: 1,,name from match data (surname only)
Sorvel,New Misos,,1756,2,1756: 2,,name from match data (surname only)
Tepura,Areoix Lie,,1724,2,1724: 2,,name from match data (surname only)
Tomaso Velli,Lycroa,MF,"1704, 1708",2,1708: 2,,includes surname-only match data
Trakor,Seytinemas,,1748,2,1748: 2,,name from match data (surname only)
Trezzini,Lycroa,,1716,2,1716: 2,,name from match data (surname only)
Vairos,United Delet,,1708,2,1708: 2,,name from match data (surname only)
Vasch,Lycroa,,1704,2,1704: 2,,name from match data (surname only)
Yaru,Easuhura,,1764,2,1764: 2,,name from match data (surname only)
Zhao,Dahe,,1732,2,1732: 2,,name from match data (surname only)
Aldhus,Verusa,,1716,1,1716: 1,,name from match data (surname only)
Anjit,Sanagara,,1756,1,1756: 1,,name from match data (surname only)
Ardrein,Erkizil,,1752,1,1752: 1,,name from match data (surname only)
Arun Phakra,Siana,MF,1704,1,1704: 1,,
Bhalla,Sanagara,,1764,1,1764: 1,,name from match data (surname only)
Bhandar,Dahe,,1724,1,1724: 1,,name from match data (surname only)
Brevik,Praesyu,,1716,1,1716: 1,,name from match data (surname only)
Brindes,United Delet,,1740,1,1740: 1,,name from match data (surname only)
Brunn,Verusa,,1728,1,1728: 1,,name from match data (surname only)
Brunscar,Praesyu,,1732,1,1732: 1,,name from match data (surname only)
Calder,New Misos,,1760,1,1760: 1,,name from match data (surname only)
Caldis,Emara,,1712,1,1712: 1,,name from match data (surname only)
Caltari,Lycroa,,1716,1,1716: 1,,name from match data (surname only)
Carosi,United Delet,,1740,1,1740: 1,,name from match data (surname only)
Casin,Areoix Lie,,1708,1,1708: 1,,name from match data (surname only)
Castin,Trian,,1760,1,1760: 1,,name from match data (surname only)
Damolo,Praesyu,,1708,1,1708: 1,,name from match data (surname only)
Daru,Sanagara,,1756,1,1756: 1,,name from match data (surname only)
Daxen,Easuhura,,1756,1,1756: 1,,name from match data (surname only)
Demane,Terressin,,1764,1,1764: 1,,name from match data (surname only)
Denrik,New Misos,,1756,1,1756: 1,,name from match data (surname only)
Devolt,Genaire,,1740,1,1740: 1,,name from match data (surname only)
Dolva,Quidic,,1708,1,1708: 1,,name from match data (surname only)
Donat,Siana,,1764,1,1764: 1,,name from match data (surname only)
Doren,United Delet,,1716,1,1716: 1,,name from match data (surname only)
Dovran,Dual Cenryia,,1748,1,1748: 1,,name from match data (surname only)
Drasil,Praesyu,,1760,1,1760: 1,,name from match data (surname only)
Eskar,Taval,,1716,1,1716: 1,,name from match data (surname only)
Eskil,Ohtina,,1756,1,1756: 1,,name from match data (surname only)
Estov,Estijan,,1704,1,1704: 1,,name from match data (surname only)
Faelin,Raledria,,1756,1,1756: 1,,name from match data (surname only)
Ferrar,Genaire,,1728,1,1728: 1,,name from match data (surname only)
Halaki,Wundry,,1732,1,1732: 1,,name from match data (surname only)
Halar,Finae,,1764,1,1764: 1,,name from match data (surname only)
Haldo,Ohtina,,1760,1,1760: 1,,name from match data (surname only)
Hale,Emara,,1720,1,1720: 1,,name from match data (surname only)
Halen,Dahe,,1744,1,1744: 1,,name from match data (surname only)
Hales,Praesyu,,1700,1,1700: 1,,name from match data (surname only)
Halvad Renn,Raledria,FW,1704,1,1704: 1,,
