Player,Team,Anchor,Position,Career
Aldo Feronti,Siana,1672,,1672:3; 1676:6; 1680:4; 1684:7
Tomas Brody,Estijan,1656,,1656:15; 1660:8
Edmar Calvik,Lycroa,1660,,1656:7; 1660:14
Aurelian Sundas,Raledria,1732,,1732:5; 1736:6; 1740:3; 1744:2
Dragomir Volzhen,Emara,1672,,1672:10; 1676:5
Davor Klent,Eldjo,1676,,1668:2; 1672:4; 1676:9
Maharan Soldai,Sanagara,1732,,1732:4; 1736:1; 1740:2; 1744:5
Theio Ravar,Emara,1764,,1752:1; 1756:2; 1760:4; 1764:9
Tomas Calmar,Lycroa,1672,,1672:9; 1676:5; 1680:2
Konrad Veitz,Alzurian Union,1684,,1676:2; 1680:4; 1684:8
Lio Vanetti,Siana,1668,,1668:8; 1672:4; 1676:2; 1680:1
Niall Brask,Etirha,1736,,1736:4; 1740:2; 1744:4
Ravan Sokhai,Easuhura,1660,,1660:8; 1668:4; 1672:2
Renso Mazzo,Siana,1676,,1676:5; 1680:2; 1684:3
Halric Ostley,Emara,1748,,1748:7; 1752:4
Marco Renzi,Siana,1680,,1676:3; 1680:7
Veylan Marrik,Raledria,1712,,1712:7; 1716:3
Aldo Vossen,Dual Cenryia,1756,,1756:6; 1760:3; 1764:2
Andrik Vossarin,Emara,1728,,1724:3; 1728:6
Daron Veshani,Finae,1732,,1732:6; 1736:3
Daron Veshani,Quidic,1736,,1736:3; 1740:2; 1744:3
Ferid Voral,Lycroa,1668,,1668:6; 1672:3; 1676:1
Galari Mestrei,Lycroa,1744,,1744:6; 1748:3
Joren Khaldari,United Delet,1708,,1704:3; 1708:6
Kashik Tonaq,Ztesh,1744,,1744:1; 1748:1; 1752:1; 1756:4
Renso Paoli,Siana,1668,,1660:3; 1668:6
Setrul Karavi,New Misos,1748,,1748:6; 1752:3; 1756:2
Telkor Andovi,Seytinemas,1748,,1744:3; 1748:6
Tobin Henlo,Praesyu,1676,,1676:6; 1680:3
Tomaz Renari,Emara,1732,,1728:3; 1732:6
Tovan Ranov,Ohtina,1736,,1736:3; 1740:2; 1744:3
Adari Lonven,New Misos,1748,,1748:5; 1752:3
Aldermin Yaxri,Easuhura,1736,,1732:2; 1736:5; 1740:2
Anders Vellholm,Verusa,1764,,1756:2; 1760:3; 1764:5
Daro Lemniska,Seytinemas,1764,,1756:2; 1760:3; 1764:5
Erik Malden,Eldjo,1680,,1680:5; 1684:3
Estien Marlo,Lycroa,1720,,1712:1; 1716:3; 1720:5
Halvik Yantra,Easuhura,1712,,1708:2; 1712:5
Janek Wol,Praesyu,1656,,1656:5; 1660:3
