This is a list of the most populous [https://en.wikipedia.org/wiki/Municipal_corporation municipal corporations] of the [[Areoix Lie]]. As defined by the [[Areoix Lie Census Bureau]], an incorporated place includes [https://en.wikipedia.org/wiki/City cities], [https://en.wikipedia.org/wiki/Town towns], [https://en.wikipedia.org/wiki/Village villages], and [https://en.wikipedia.org/wiki/Municipality municipalities].<ref name="alcb-method">{{cite web|url=https://www.areoixliecensus.gov/methodology/incorporated-places|title=Defining Incorporated Places and Census-Designated Places|publisher=[[Areoix Lie Census Bureau]]|date=18 March 1764}}</ref> A few exceptional census-designated places (CDPs) are also included in the Census Bureau's listing of incorporated places. This list refers only to the population of individual municipalities within their [https://en.wikipedia.org/wiki/City_limits defined limits]; the populations of other municipalities considered [https://en.wikipedia.org/wiki/Suburb suburbs] of a central city are listed separately, and unincorporated areas within [https://en.wikipedia.org/wiki/Urban_area urban agglomerations] are included.<ref name="alcb-1764">{{cite web|url=https://www.areoixliecensus.gov/database/1764-population-by-municipality|title=1764 Census of the Areoix Lie: Resident Population by Municipality|publisher=[[Areoix Lie Census Bureau]]|date=2 February 1765}}</ref> Population counts for the intercensal comparison are drawn from the 1754 and 1764 enumerations, with global cross-checks provided by the World Data Union Population Division.<ref name="wdu">{{cite web|url=https://worlddataunion.org/prospects/1765/areoix-lie|title=World Population Prospects 1765: Areoix Lie|publisher=World Data Union}}</ref>
{| class="wikitable sortable"
|+
! rowspan="2" |Municipality
! rowspan="2" |Province
! rowspan="2" |1764 Census
! rowspan="2" |1754 Census
! rowspan="2" |Change
! colspan="2" |1764 Land Area
! colspan="2" |'''1764 Density'''
! rowspan="2" |Location
|-
!Km2
!Mi2
!Km2
!Mi2
|-
|[[Vurahi]]
|[[Virauza]]
|21,581,000
|20,519,894
| +1061106<ref name="alcb-1764" />
|2,461 
|950 
|8769
|14112
|
|-
|'''[[Zirohu]]'''
|[[Asnaria]]
|32,514,000<ref name="alcb-largest">{{cite web|url=https://www.areoixliecensus.gov/releases/1764/largest-municipalities|title=Zirohu Confirmed as Most Populous Municipality in the 1764 Census|publisher=[[Areoix Lie Census Bureau]]|date=11 February 1765}}</ref>
|31,034,000
| +1480000
|2,732
|1054
|11901
|19152
|
|-
|[[Nakahiki]]
|
|13,482,000<ref name="wdu" />
|
|
|
|
|
|
|
|-
|[[Xalavi]]
|
|9,600,000
|
|
|
|
|
|
|
|-
|[[Mahana]]
|
|8,540,000
|
|
|
|
|
|
|
|-
|[[Nikahatu]]
|
|7,210,000
|
|
|
|
|
|
|
|-
|[[Mireli]]
|
|5,990,000
|
|
|
|
|
|
|
|-
|[[Lihakoa]]
|
|3,584,000
|
|
|
|
|
|
|
|-
|[[Haikaia]]
|
|2,631,000
|
|
|
|
|
|
|
|-
|[[Vikura]]
|
|2,557,000
|
|
|
|
|
|
|
|-
|[[Tianoro]]
|
|1,965,000
|
|
|
|
|
|
|
|-
|[[Lunatoa]]
|
|1,855,000
|
|
|
|
|
|
|
|-
|[[Vahata]]
|
|1,799,000
|
|
|
|
|
|
|
|-
|[[Tavarua]]
|
|1,469,000
|
|
|
|
|
|
|
|-
|[[Vimano]]
|
|1,448,000
|
|
|
|
|
|
|
|-
|[[Yuwiha]]
|
|1,350,000
|
|
|
|
|
|
|
|-
|[[Xamahu]]
|
|1,206,000
|
|
|
|
|
|
|
|-
|[[Matini]]
|
|1,192,000
|
|
|
|
|
|
|
|-
|[[Kiamoana]]
|
|1,187,000
|
|
|
|
|
|
|
|-
|[[Xemara]]
|
|1,169,000
|
|
|
|
|
|
|
|-
|[[Tepahori]]
|
|1,162,000
|
|
|
|
|
|
|
|-
|[[Tautiku]]
|
|1,142,000
|
|
|
|
|
|
|
|-
|[[Hikorai]]
|
|1,137,000
|
|
|
|
|
|
|
|-
|[[Mauhunai]]
|
|1,023,000
|
|
|
|
|
|
|
|-
|[[Pitahu]]
|
|1,017,000
|
|
|
|
|
|
|
|}

==References==
{{reflist}}
